Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2805","Rice and products","2017","2017","g/capita/day","13.18","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2805","Rice and products","2017","2017","g/capita/day","1.56","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2513","Barley and products","2016","2016","1000 tonnes","1440","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2513","Barley and products","2016","2016","1000 tonnes","159","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2513","Barley and products","2016","2016","1000 tonnes","19","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2513","Barley and products","2016","2016","1000 tonnes","1548","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2513","Barley and products","2016","2016","1000 tonnes","180","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2513","Barley and products","2016","2016","1000 tonnes","1137","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2016","2016","kg","0.86","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2513","Barley and products","2016","2016","kcal/capita/day","6","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2513","Barley and products","2016","2016","g/capita/day","0.15","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2513","Barley and products","2016","2016","g/capita/day","0.02","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","1750","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2513","Barley and products","2017","2017","1000 tonnes","268","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2513","Barley and products","2017","2017","1000 tonnes","19","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2513","Barley and products","2017","2017","1000 tonnes","1754","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2513","Barley and products","2017","2017","1000 tonnes","194","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2513","Barley and products","2017","2017","1000 tonnes","1305","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2017","2017","kg","0.97","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2513","Barley and products","2017","2017","kcal/capita/day","6","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2513","Barley and products","2017","2017","g/capita/day","0.16","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2513","Barley and products","2017","2017","g/capita/day","0.02","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2514","Maize and products","2016","2016","1000 tonnes","25900","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2514","Maize and products","2016","2016","1000 tonnes","185","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2514","Maize and products","2016","2016","1000 tonnes","786","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2514","Maize and products","2016","2016","1000 tonnes","23343","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2514","Maize and products","2016","2016","1000 tonnes","9510","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2514","Maize and products","2016","2016","1000 tonnes","9952","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2016","2016","kg","7.51","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2514","Maize and products","2016","2016","kcal/capita/day","62","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2016","2016","g/capita/day","1.55","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2016","2016","g/capita/day","0.74","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","28720","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2514","Maize and products","2017","2017","1000 tonnes","86","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2514","Maize and products","2017","2017","1000 tonnes","847","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2514","Maize and products","2017","2017","1000 tonnes","26643","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2514","Maize and products","2017","2017","1000 tonnes","10488","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2514","Maize and products","2017","2017","1000 tonnes","10865","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2017","2017","kg","8.12","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2514","Maize and products","2017","2017","kcal/capita/day","67","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2017","2017","g/capita/day","1.67","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2017","2017","g/capita/day","0.8","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2515","Rye and products","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2515","Rye and products","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2515","Rye and products","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2515","Rye and products","2016","2016","1000 tonnes","-0","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2515","Rye and products","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2515","Rye and products","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2016","2016","kg","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2515","Rye and products","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2515","Rye and products","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5511","Production","2516","Oats","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2516","Oats","2016","2016","1000 tonnes","84","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2516","Oats","2016","2016","1000 tonnes","1","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2516","Oats","2016","2016","1000 tonnes","79","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2516","Oats","2016","2016","1000 tonnes","24","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2516","Oats","2016","2016","1000 tonnes","55","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2516","Oats","2016","2016","kg","0.04","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2516","Oats","2016","2016","kcal/capita/day","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2516","Oats","2016","2016","g/capita/day","0.01","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2516","Oats","2016","2016","g/capita/day","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2516","Oats","2017","2017","1000 tonnes","76","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2516","Oats","2017","2017","1000 tonnes","1","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2516","Oats","2017","2017","1000 tonnes","77","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2516","Oats","2017","2017","1000 tonnes","26","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2516","Oats","2017","2017","1000 tonnes","50","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2516","Oats","2017","2017","kg","0.04","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2516","Oats","2017","2017","kcal/capita/day","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2516","Oats","2017","2017","g/capita/day","0.01","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2516","Oats","2017","2017","g/capita/day","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2517","Millet and products","2016","2016","1000 tonnes","10280","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2517","Millet and products","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2517","Millet and products","2016","2016","1000 tonnes","76","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2517","Millet and products","2016","2016","1000 tonnes","10894","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2517","Millet and products","2016","2016","1000 tonnes","281","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2517","Millet and products","2016","2016","1000 tonnes","9906","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2517","Millet and products","2016","2016","kg","7.48","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2517","Millet and products","2016","2016","kcal/capita/day","64","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2517","Millet and products","2016","2016","g/capita/day","1.85","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2517","Millet and products","2016","2016","g/capita/day","0.72","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2517","Millet and products","2017","2017","1000 tonnes","11560","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2517","Millet and products","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2517","Millet and products","2017","2017","1000 tonnes","73","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2517","Millet and products","2017","2017","1000 tonnes","10858","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2517","Millet and products","2017","2017","1000 tonnes","218","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2517","Millet and products","2017","2017","1000 tonnes","9887","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2517","Millet and products","2017","2017","kg","7.39","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2517","Millet and products","2017","2017","kcal/capita/day","63","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2517","Millet and products","2017","2017","g/capita/day","1.83","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2517","Millet and products","2017","2017","g/capita/day","0.72","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2518","Sorghum and products","2016","2016","1000 tonnes","4240","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2518","Sorghum and products","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2518","Sorghum and products","2016","2016","1000 tonnes","66","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2518","Sorghum and products","2016","2016","1000 tonnes","4763","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2518","Sorghum and products","2016","2016","1000 tonnes","68","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2518","Sorghum and products","2016","2016","1000 tonnes","4259","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2518","Sorghum and products","2016","2016","kg","3.22","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2518","Sorghum and products","2016","2016","kcal/capita/day","29","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2518","Sorghum and products","2016","2016","g/capita/day","0.84","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2518","Sorghum and products","2016","2016","g/capita/day","0.31","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2518","Sorghum and products","2017","2017","1000 tonnes","4570","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2518","Sorghum and products","2017","2017","1000 tonnes","20","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2518","Sorghum and products","2017","2017","1000 tonnes","4376","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2518","Sorghum and products","2017","2017","1000 tonnes","22","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2518","Sorghum and products","2017","2017","1000 tonnes","3909","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2518","Sorghum and products","2017","2017","kg","2.92","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2518","Sorghum and products","2017","2017","kcal/capita/day","26","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2518","Sorghum and products","2017","2017","g/capita/day","0.76","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2518","Sorghum and products","2017","2017","g/capita/day","0.28","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2520","Cereals, Other","2016","2016","1000 tonnes","21","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2520","Cereals, Other","2016","2016","1000 tonnes","1","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2520","Cereals, Other","2016","2016","1000 tonnes","40","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2520","Cereals, Other","2016","2016","1000 tonnes","4","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2520","Cereals, Other","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2520","Cereals, Other","2016","2016","1000 tonnes","4","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2520","Cereals, Other","2016","2016","kg","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2520","Cereals, Other","2016","2016","kcal/capita/day","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2520","Cereals, Other","2016","2016","g/capita/day","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2520","Cereals, Other","2016","2016","g/capita/day","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2520","Cereals, Other","2017","2017","1000 tonnes","25","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2520","Cereals, Other","2017","2017","1000 tonnes","1","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2520","Cereals, Other","2017","2017","1000 tonnes","47","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2520","Cereals, Other","2017","2017","1000 tonnes","4","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2520","Cereals, Other","2017","2017","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2520","Cereals, Other","2017","2017","1000 tonnes","4","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2520","Cereals, Other","2017","2017","kg","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2520","Cereals, Other","2017","2017","kcal/capita/day","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2520","Cereals, Other","2017","2017","g/capita/day","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2520","Cereals, Other","2017","2017","g/capita/day","0","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2532","Cassava and products","2016","2016","1000 tonnes","4344","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2532","Cassava and products","2016","2016","1000 tonnes","63","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2532","Cassava and products","2016","2016","1000 tonnes","19","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2532","Cassava and products","2016","2016","1000 tonnes","4388","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2532","Cassava and products","2016","2016","1000 tonnes","91","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2532","Cassava and products","2016","2016","1000 tonnes","4079","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2532","Cassava and products","2016","2016","kg","3.08","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2532","Cassava and products","2016","2016","kcal/capita/day","7","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2532","Cassava and products","2016","2016","g/capita/day","0.03","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2532","Cassava and products","2016","2016","g/capita/day","0.01","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2532","Cassava and products","2017","2017","1000 tonnes","4171","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2532","Cassava and products","2017","2017","1000 tonnes","247","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2532","Cassava and products","2017","2017","1000 tonnes","22","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2532","Cassava and products","2017","2017","1000 tonnes","4395","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2532","Cassava and products","2017","2017","1000 tonnes","88","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2532","Cassava and products","2017","2017","1000 tonnes","4099","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2532","Cassava and products","2017","2017","kg","3.06","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2532","Cassava and products","2017","2017","kcal/capita/day","7","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2532","Cassava and products","2017","2017","g/capita/day","0.03","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2532","Cassava and products","2017","2017","g/capita/day","0.01","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2531","Potatoes and products","2016","2016","1000 tonnes","43417","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2531","Potatoes and products","2016","2016","1000 tonnes","3","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2531","Potatoes and products","2016","2016","1000 tonnes","248","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2531","Potatoes and products","2016","2016","1000 tonnes","43631","S","Standardized data",""
"FBS","New Food Balances","100","India","5521","Feed","2531","Potatoes and products","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2531","Potatoes and products","2016","2016","1000 tonnes","31774","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2531","Potatoes and products","2016","2016","kg","23.99","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2531","Potatoes and products","2016","2016","kcal/capita/day","44","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2531","Potatoes and products","2016","2016","g/capita/day","1.05","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2531","Potatoes and products","2016","2016","g/capita/day","0.07","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2531","Potatoes and products","2017","2017","1000 tonnes","48605","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2531","Potatoes and products","2017","2017","1000 tonnes","2","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2531","Potatoes and products","2017","2017","1000 tonnes","387","S","Standardized data",""
"FBS","New Food Balances","100","India","5301","Domestic supply quantity","2531","Potatoes and products","2017","2017","1000 tonnes","47384","S","Standardized data",""
"FBS","New Food Balances","100","India","5142","Food","2531","Potatoes and products","2017","2017","1000 tonnes","34181","S","Standardized data",""
"FBS","New Food Balances","100","India","645","Food supply quantity (kg/capita/yr)","2531","Potatoes and products","2017","2017","kg","25.53","Fc","Calculated data",""
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2531","Potatoes and products","2017","2017","kcal/capita/day","47","Fc","Calculated data",""
"FBS","New Food Balances","100","India","674","Protein supply quantity (g/capita/day)","2531","Potatoes and products","2017","2017","g/capita/day","1.12","Fc","Calculated data",""
"FBS","New Food Balances","100","India","684","Fat supply quantity (g/capita/day)","2531","Potatoes and products","2017","2017","g/capita/day","0.07","Fc","Calculated data",""
"FBS","New Food Balances","100","India","5511","Production","2533","Sweet potatoes","2016","2016","1000 tonnes","1454","S","Standardized data",""
"FBS","New Food Balances","100","India","5611","Import Quantity","2533","Sweet potatoes","2016","2016","1000 tonnes","0","S","Standardized data",""
"FBS","New Food Balances","100","India","5911","Export Quantity","2533","Sweet potatoes","2016","2016","1000 tonnes","0","S","Standardized data",""
